"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동복구매방식(학교주관구매)","동복구매방식(공동구매)","동복구매방식(개별구매)","동복구매방식(기타)","동복구매방식(기타사유)","동복구매방식(해당없음)","동복(평균)가격","하복구매방식(학교주관구매)","하복구매방식(공동구매)","하복구매방식(개별구매)","하복구매방식(기타)","하복구매방식(기타사유)","하복구매방식(해당없음)","하복(평균)가격","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시성동광진교육지원청","B100000337","서울특별시 광진구","1121510400","01","S010005241","서울양진초등학교","02","공립","Y","교복을 착용하지 않으므로 해당사항 없습니다.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성동광진교육지원청","B100000337","서울특별시 성동구","1120010500","01","S010005244","서울마장초등학교","02","공립","Y","해당 없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시서부교육지원청","B100000326","서울특별시 은평구","1138010900","01","S010005247","서울서신초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013900","01","S010005249","서울석계초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시동작관악교육지원청","B100000304","서울특별시 동작구","1159010900","01","S010005251","서울보라매초등학교","02","공립","Y","해당사항없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시강서양천교육지원청","B100000271","서울특별시 강서구","1150010100","01","S010005253","서울염경초등학교","02","공립","Y","교복없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시남부교육지원청","B100000282","서울특별시 영등포구","1156012400","01","S010005254","서울영문초등학교","02","공립","Y","초등 해당사항 없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시동작관악교육지원청","B100000304","서울특별시 관악구","1162010200","01","S010005257","서울조원초등학교","02","공립","Y","초등학교. 해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시강서양천교육지원청","B100000271","서울특별시 강서구","1150010300","01","S010005259","서울화일초등학교","02","공립","Y","교복 미착용 학교","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성동광진교육지원청","B100000337","서울특별시 성동구","1120010700","01","S010005269","서울행현초등학교","02","공립","Y","교복 미착용","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013400","01","S010005272","서울길원초등학교","02","공립","Y","교복을 입지 않음.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시강서양천교육지원청","B100000271","서울특별시 양천구","1147010100","01","S010005280","서울장수초등학교","02","공립","Y","교복미착용","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013800","01","S010005282","서울장월초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
